ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
402,Arthur Abele,M,22.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's Decathlon,,Germany
402,Arthur Abele,M,30.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Decathlon,,Germany
505,"Alexander ""Alex"" Abraham (Steglitz)",M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Decathlon,,Germany
701,Georg Ackermann,M,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Long Jump,,Germany
1441,Erich Ahrendt,M,27.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Javelin Throw,,Germany
2394,Emmy Albus (-Liersch),F,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 100 metres,,Germany
2394,Emmy Albus (-Liersch),F,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
3348,Georg Wilhelm Amberger,M,21.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,"Athletics Men's 1,500 metres",,Germany
3348,Georg Wilhelm Amberger,M,21.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,"Athletics Men's 3,000 metres, Team",,Germany
3683,Helga-Beate Anders-Gummelt,F,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 10 kilometres Walk,,Germany
3683,Helga-Beate Anders-Gummelt,F,28.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 10 kilometres Walk,,Germany
3683,Helga-Beate Anders-Gummelt,F,32.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 20 kilometres Walk,,Germany
5197,Jirka Arndt,M,27.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,"Athletics Men's 5,000 metres",,Germany
5698,"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",F,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's High Jump,,Germany
5719,Horst Astroth,M,36.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 50 kilometres Walk,,Germany
7269,Jrg Balke,M,24.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 800 metres,,Germany
7349,Erik Balnuweit,M,23.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
7421,Falk Balzer,M,26.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
8208,Franz Barsicke,M,31.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Marathon,,Germany
8238,Ralf Bartels,M,26.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Shot Put,,Germany
8238,Ralf Bartels,M,34.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Shot Put,,Germany
8251,Hugo Barth,M,24.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's Decathlon,,Germany
8279,Bruno Martin Ernst Arthur Bartholome,M,33.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Marathon,,Germany
8726,Kim-Lars Bauermeister,M,25.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
8752,Dieter Baumann,M,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,"Athletics Men's 5,000 metres",Gold,Germany
8752,Dieter Baumann,M,31.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,"Athletics Men's 5,000 metres",,Germany
8764,Jackie Baumann,F,20.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 400 metres Hurdles,,Germany
8800,Albert Artur Bumle,M,29.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Long Jump,,Germany
8814,Otto Burle,M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Triple Jump,,Germany
8814,Otto Burle,M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Pentathlon,,Germany
8822,"Ingeborg ""Inge"" Bausenwein (Wolf-, Plank-)",F,31.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's Javelin Throw,,Germany
8895,Sebastian Bayer,M,22.0,Germany,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's Long Jump,,Germany
8895,Sebastian Bayer,M,26.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Long Jump,,Germany
9151,Karl Felix John Bechler,M,22.0,Germany,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's 100 metres,,Germany
9151,Karl Felix John Bechler,M,22.0,Germany,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's Javelin Throw,,Germany
9192,Nadine Beckel,F,27.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Shot Put,,Germany
9206,Karl-Heinz Becker,M,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,"Athletics Men's 5,000 metres",,Germany
9229,Lothar Beckert,M,25.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's Marathon,,Germany
9229,Lothar Beckert,M,29.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Marathon,,Germany
9252,Martin Beckmann,M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 100 metres,,Germany
9252,Martin Beckmann,M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 400 metres,,Germany
9343,Klaus Beer,M,21.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Long Jump,,Germany
9348,Peggy Beer,F,22.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Heptathlon,,Germany
9348,Peggy Beer,F,26.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Heptathlon,,Germany
9416,Pascal Behrenbruch,M,27.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Decathlon,,Germany
10462,Rainer Berger,M,20.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
11138,Wolf-Hendrik Paul Beyer,M,20.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's High Jump,,Germany
11139,Horst Beyer,M,24.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Decathlon,,Germany
11143,Udo Beyer,M,36.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Shot Put,,Germany
11145,Uwe Beyer,M,19.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Hammer Throw,Bronze,Germany
11345,Anni Biechl (-Capeller),F,20.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's 4 x 100 metres Relay,Silver,Germany
11711,Heinfried Ernst Birlenbach,M,23.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Shot Put,,Germany
12158,Peter Blank,M,34.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Javelin Throw,,Germany
12189,Erwin Blask,M,26.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Hammer Throw,Silver,Germany
12217,Hermann Matthias Blazejczak,M,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 400 metres,,Germany
12252,Fritz Erich Bleiwei,M,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 50 kilometres Walk,,Germany
12396,Holger Blume,M,22.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
12398,Marc Blume,M,22.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's 100 metres,,Germany
12398,Marc Blume,M,22.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
12398,Marc Blume,M,26.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's 100 metres,,Germany
12531,Herbert Oskar Bcher,M,25.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,"Athletics Men's 1,500 metres",,Germany
12547,Detlef Bock,M,29.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Shot Put,,Germany
12554,Manfred Bock,M,19.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Decathlon,,Germany
12722,Dieter Bogatzki,M,22.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's 800 metres,,Germany
13007,Kirsten Bolm,F,29.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 100 metres Hurdles,,Germany
13047,"Wilhelm Andreas ""Willi"" Boltze",M,23.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,"Athletics Men's 5,000 metres",,Germany
13161,"Wolfgang ""Wolf"" Boneder",M,33.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's High Jump,,Germany
13168,Elisabeth Bonetsmller,F,21.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Women's High Jump,,Germany
13255,Helmut Bonnet,M,26.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Decathlon,,Germany
13406,Erich Borchmeyer,M,27.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 200 metres,,Germany
13406,Erich Borchmeyer,M,27.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,Germany
13406,Erich Borchmeyer,M,31.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 100 metres,,Germany
13406,Erich Borchmeyer,M,31.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 4 x 100 metres Relay,Bronze,Germany
13454,Lars Brgeling,M,25.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Pole Vault,,Germany
13558,Kathrin Born-Boyde (-Erlingis),F,21.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 10 kilometres Walk,,Germany
13558,Kathrin Born-Boyde (-Erlingis),F,25.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 10 kilometres Walk,,Germany
13558,Kathrin Born-Boyde (-Erlingis),F,29.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 20 kilometres Walk,,Germany
13866,Werner Bttcher,M,26.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,"Athletics Men's 1,500 metres",,Germany
14302,Renate Boy-Garisch-Culmberger,F,21.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's Shot Put,,Germany
14302,Renate Boy-Garisch-Culmberger,F,25.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Women's Shot Put,Silver,Germany
14533,Eduard Braesecke,M,30.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Marathon,,Germany
14625,Steffen Brand,M,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
14625,Steffen Brand,M,31.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
14754,Ellen Braumller (-Hassauer),F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
14754,Ellen Braumller (-Hassauer),F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's High Jump,,Germany
14754,Ellen Braumller (-Hassauer),F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's Discus Throw,,Germany
14754,Ellen Braumller (-Hassauer),F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's Javelin Throw,Silver,Germany
14755,"Ingeborg ""Inge"" Braumller (-Betz, -Machts)",F,18.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Women's High Jump,,Germany
14760,"Johannes ""Hanns"" Braun",M,21.0,Germany,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's 800 metres,Bronze,Germany
14760,"Johannes ""Hanns"" Braun",M,21.0,Germany,1908 Summer,1908,Summer,London,Track & Field,"Athletics Men's 1,500 metres",,Germany
14760,"Johannes ""Hanns"" Braun",M,21.0,Germany,1908 Summer,1908,Summer,London,Track & Field,"Athletics Men's 1,600 metres Medley Relay",Silver,Germany
14760,"Johannes ""Hanns"" Braun",M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 400 metres,Silver,Germany
14760,"Johannes ""Hanns"" Braun",M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 800 metres,,Germany
14760,"Johannes ""Hanns"" Braun",M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
14771,Sabine Braun,F,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Heptathlon,Bronze,Germany
14771,Sabine Braun,F,31.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Heptathlon,,Germany
14771,Sabine Braun,F,35.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Heptathlon,,Germany
14908,Nils Brembach,M,23.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's 20 kilometres Walk,,Germany
14990,Grit Breuer (-Springstein),F,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 400 metres,,Germany
14990,Grit Breuer (-Springstein),F,24.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 4 x 400 metres Relay,Bronze,Germany
14990,Grit Breuer (-Springstein),F,32.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 4 x 400 metres Relay,,Germany
15018,Andreas Wilhelm Breynck,M,19.0,Germany,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's 800 metres,,Germany
15018,Andreas Wilhelm Breynck,M,19.0,Germany,1908 Summer,1908,Summer,London,Track & Field,"Athletics Men's 1,500 metres",,Germany
15333,"Almuth ""Almut"" Brmmel",F,21.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's Discus Throw,,Germany
15333,"Almuth ""Almut"" Brmmel",F,21.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Women's Javelin Throw,,Germany
15333,"Almuth ""Almut"" Brmmel",F,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's Javelin Throw,,Germany
15855,Martin Brustmann,M,20.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 100 metres,,Germany
15855,Martin Brustmann,M,20.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Long Jump,,Germany
15855,Martin Brustmann,M,20.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Standing Long Jump,,Germany
15855,Martin Brustmann,M,20.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Triple Jump,,Germany
16059,"Joachim ""Jochen"" Bchner",M,23.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 400 metres,Bronze,Germany
16059,"Joachim ""Jochen"" Bchner",M,27.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 400 metres,,Germany
16059,"Joachim ""Jochen"" Bchner",M,27.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
16147,Oliver-Sven Buder,M,30.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Shot Put,,Germany
16147,Oliver-Sven Buder,M,34.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's Shot Put,,Germany
16224,Hermann Buhl,M,25.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
16237,Matthias Bhler,M,25.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
16237,Matthias Bhler,M,29.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
16432,Andrea Bunjes,F,28.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Hammer Throw,,Germany
16630,Hermann Heinrich Burkowitz,M,20.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 400 metres,,Germany
16630,Hermann Heinrich Burkowitz,M,20.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
16809,Yvonne (-Balian) Buschbaum,F,20.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Pole Vault,,Germany
16811,"Margarete ""Margret"" Buscher",F,26.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Women's 400 metres,,Germany
16819,Frank Busemann,M,21.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Decathlon,Silver,Germany
16819,Frank Busemann,M,25.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's Decathlon,,Germany
17560,Alyn Camara,M,23.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Long Jump,,Germany
17560,Alyn Camara,M,27.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Long Jump,,Germany
21772,Birgit Clarius (-He),F,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Heptathlon,,Germany
22022,Urban Cleve,M,21.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's 800 metres,,Germany
23233,Richard Corts,M,22.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 100 metres,,Germany
23233,Richard Corts,M,22.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,Germany
23641,Shanice Craft,F,23.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's Discus Throw,,Germany
23748,Esther Cremer,F,24.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 400 metres Relay,,Germany
23795,Jrme Marcel Crews,M,27.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
24274,Bernd Cullmann,M,20.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's 4 x 100 metres Relay,Gold,Germany
24896,Tobias Dahm,M,29.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Shot Put,,Germany
24930,Nischan Daimer (Tsamonikian-),M,29.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's 20 kilometres Walk,,Germany
25319,Ottomar Fritz Max Danz,M,23.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 800 metres,,Germany
25524,Thorsten Dauth,M,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Decathlon,,Germany
25983,Paul de Bruyn,M,24.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's Marathon,,Germany
25983,Paul de Bruyn,M,28.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's Marathon,,Germany
26810,Matthias de Zordo,M,24.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Javelin Throw,,Germany
27037,Joachim Dehmel,M,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's 800 metres,,Germany
27860,Wolfgang Dessecker,M,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 800 metres,,Germany
27888,Claus Dethloff,M,23.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Hammer Throw,,Germany
27888,Claus Dethloff,M,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Hammer Throw,,Germany
28422,Gundula Diel,F,23.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Women's 80 metres Hurdles,,Germany
28484,Franka Dietzsch,F,24.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Discus Throw,,Germany
28484,Franka Dietzsch,F,28.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Discus Throw,,Germany
28484,Franka Dietzsch,F,32.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Discus Throw,,Germany
28484,Franka Dietzsch,F,36.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's Discus Throw,,Germany
28535,Herbert Gerhard Dill,M,27.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Men's 50 kilometres Walk,,Germany
28538,Karsten Dilla,M,27.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's Pole Vault,,Germany
28960,"Rudolf ""Rudi"" Dobermann",M,25.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's Long Jump,,Germany
28969,Konrad Waldemar Dobler,M,35.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Marathon,,Germany
28969,Konrad Waldemar Dobler,M,39.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Marathon,,Germany
29084,Kurt Wilhelm Doerry,M,21.0,Germany,1896 Summer,1896,Summer,Athina,Track & Field,Athletics Men's 100 metres,,Germany
29084,Kurt Wilhelm Doerry,M,21.0,Germany,1896 Summer,1896,Summer,Athina,Track & Field,Athletics Men's 400 metres,,Germany
29084,Kurt Wilhelm Doerry,M,21.0,Germany,1896 Summer,1896,Summer,Athina,Track & Field,Athletics Men's 110 metres Hurdles,,Germany
29084,Kurt Wilhelm Doerry,M,25.0,Germany,1900 Summer,1900,Summer,Paris,Track & Field,Athletics Men's 100 metres,,Germany
29113,Carl Dohmann,M,26.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's 50 kilometres Walk,,Germany
29119,Gnter Kurt Werner Dohrow,M,24.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,"Athletics Men's 1,500 metres",,Germany
29119,Gnter Kurt Werner Dohrow,M,29.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's 800 metres,,Germany
29119,Gnter Kurt Werner Dohrow,M,29.0,Germany,1956 Summer,1956,Summer,Melbourne,Track & Field,"Athletics Men's 1,500 metres",,Germany
29197,"Maria ""Marie"" Dollinger (-Hendrix)",F,17.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Women's 800 metres,,Germany
29197,"Maria ""Marie"" Dollinger (-Hendrix)",F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's 100 metres,,Germany
29197,"Maria ""Marie"" Dollinger (-Hendrix)",F,21.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
29197,"Maria ""Marie"" Dollinger (-Hendrix)",F,25.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 100 metres,,Germany
29197,"Maria ""Marie"" Dollinger (-Hendrix)",F,25.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
29304,Alfred Dompert,M,21.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,"Athletics Men's 3,000 metres Steeplechase",Bronze,Germany
29332,"Ursula ""Ulla"" Donath (Jurewitz-, -Brehme-)",F,29.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Women's 800 metres,Bronze,Germany
29482,Ilse Drffeldt,F,24.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
29494,Alfred Dring,M,31.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
29530,Rainer Drner,M,27.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,"Athletics Men's 3,000 metres Steeplechase",,Germany
29549,"Wilhelm ""Willy"" Drr",M,24.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Discus Throw,,Germany
29549,"Wilhelm ""Willy"" Drr",M,24.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Pentathlon (Ancient),,Germany
29550,Juana Katrin Drre-Heinig,F,30.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Marathon,,Germany
29550,Juana Katrin Drre-Heinig,F,34.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's Marathon,,Germany
29958,Heike Gabriela Drechsler (Daute-),F,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's Long Jump,Gold,Germany
29958,Heike Gabriela Drechsler (Daute-),F,35.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Long Jump,Gold,Germany
29959,Ralf Drecoll,M,20.0,Germany,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's High Jump,,Germany
30006,Stefan Drews,M,25.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Decathlon,,Germany
30496,"Francis Johann Wilhelm ""Franz"" Duhne",M,19.0,Germany,1900 Summer,1900,Summer,Paris,Track & Field,"Athletics Men's 2,500 metres Steeplechase",,Germany
30496,"Francis Johann Wilhelm ""Franz"" Duhne",M,19.0,Germany,1900 Summer,1900,Summer,Paris,Track & Field,"Athletics Men's 4,000 metres Steeplechase",,Germany
30636,"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 100 metres,,Germany
30636,"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 400 metres,,Germany
30636,"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 800 metres,,Germany
30636,"John Vinzenz Andrew de Villiers ""Vincent"" Duncker",M,21.0,Germany,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 110 metres Hurdles,Bronze,Germany
30902,Pamela Dutkiewicz,F,24.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 100 metres Hurdles,,Germany
31235,Lydia Eberhardt,F,23.0,Germany,1936 Summer,1936,Summer,Berlin,Track & Field,Athletics Women's Javelin Throw,,Germany
31251,Wolrad Eberle,M,24.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's Decathlon,Bronze,Germany
31328,"Daniel ""Danny"" Ecker",M,23.0,Germany,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's Pole Vault,,Germany
